,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
12/20/2019,1363.1,1364,1350.73,1351.22,67.561,2513849,0,1
12/23/2019,1358.73,1361.85,1348,1350.63,67.5315,996967,0,1
12/24/2019,1350.21,1352.01,1344.17,1344.43,67.2215,673410,0,1
12/26/2019,1346.55,1363.2,1345.51,1362.47,68.1235,1183800,0,1
12/27/2019,1364,1367.05,1353,1354.64,67.732,1160873,0,1
12/30/2019,1356.81,1357,1337.84,1339.71,66.9855,1000592,0,1
12/31/2019,1335.79,1340.66,1332.13,1339.39,66.9695,976061,0,1
1/2/2020,1348.41,1368.68,1346.49,1368.68,68.434,1364265,0,1
1/3/2020,1348,1373.75,1347.32,1361.52,68.076,1170629,0,1
1/6/2020,1351.63,1398.32,1351,1397.81,69.8905,2339343,0,1
1/7/2020,1400.46,1403.5,1391.56,1395.11,69.7555,1726456,0,1
1/8/2020,1394.82,1411.85,1392.63,1405.04,70.252,1766274,0,1
1/9/2020,1421.93,1428.68,1410.21,1419.79,70.9895,1661438,0,1
1/10/2020,1429.47,1434.94,1419.6,1428.96,71.448,1313178,0,1
1/13/2020,1435.25,1441.48,1425.37,1440.03,72.0015,1525568,0,1
